,KEN1110,KEN1120,KEN1130,KEN1210,KEN1220,KEN1410,KEN1420,KEN2110,KEN2120,KEN2130,KEN2220,KEN2230,KEN2240,KEN2410,KEN2420,KEN2430,KEN2510,KEN2520,KEN2530,KEN2600,
10060,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,6.0,6.0,10.0,8.0,7.0,8.0,6.0,6.0,8.0,6.0,7.0,8.5,
10173,3.0,-1.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
10546,6.0,2.0,6.0,4.0,4.0,2.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
11320,9.0,8.0,8.0,6.0,6.0,4.0,5.0,7.0,6.0,5.0,6.0,3.0,-1.0,8.0,8.0,5.0,8.0,6.0,-1.0,7.0,
11707,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,6.0,5.0,4.0,3.0,4.0,8.0,8.0,6.0,8.0,4.0,-1.0,6.0,
11867,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,6.0,8.0,9.0,6.0,8.0,7.0,9.0,6.0,8.0,6.0,5.0,7.0,
11895,9.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,6.0,10.0,9.0,7.0,7.0,8.0,10.0,9.0,7.0,10.0,8.0,8.0,
12940,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,
12988,5.0,2.0,6.0,2.0,-1.0,6.0,-1.0,-1.0,6.0,-1.0,6.0,-1.0,-1.0,8.0,-1.0,6.0,8.0,-1.0,-1.0,6.5,
13148,8.0,9.0,9.0,4.0,-1.0,8.0,6.0,9.0,7.0,-1.0,9.0,7.0,7.0,8.0,7.0,7.0,9.0,9.0,4.0,7.0,
13985,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
14020,8.0,6.0,9.0,7.0,6.0,6.0,6.0,7.0,5.0,4.0,6.0,4.0,5.0,9.0,6.0,7.0,8.0,6.0,6.0,6.0,
14336,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,6.0,-1.0,-1.0,7.0,-1.0,-1.0,6.0,4.0,-1.0,
14576,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,7.0,7.0,9.0,8.0,8.0,8.0,9.0,9.0,8.0,10.0,9.0,-1.0,
14959,8.0,9.0,10.0,9.0,8.0,10.0,8.0,9.0,7.0,7.0,10.0,6.0,8.0,8.0,8.0,10.0,9.0,10.0,8.0,6.0,
15153,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
15164,8.0,8.0,7.0,5.0,7.0,8.0,7.0,6.0,8.0,4.0,9.0,4.0,7.0,9.0,4.0,-1.0,5.0,7.0,-1.0,7.5,
15566,4.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
15831,8.0,7.0,6.0,6.0,6.0,4.0,2.0,6.0,7.0,6.0,6.0,3.0,3.0,9.0,3.0,-1.0,9.0,6.0,-1.0,7.5,
16395,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,2.0,6.0,5.0,3.0,7.0,5.0,1.0,9.0,-1.0,-1.0,6.5,
16407,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
